site,plot,month_collected,family,genus,species,weight,correct_calibration_present,species_uncertainty,weight_uncertainty,,,
7,1,01/09/2014,heteromyidae,dipodomys,merriami,40,yes,no,no,,,
7,1,01/09/2014,heteromyidae,dipodomys,merriami,36,yes,no,no,,,
7,1,01/09/2014,heteromyidae,dipodomys,spectabilis,135,yes,no,no,,,
7,1,01/09/2014,heteromyidae,dipodomys,merriami,39,yes,no,no,,,
7,1,01/20/2014,heteromyidae,dipodomys,merriami,43,yes,no,no,,,
7,1,01/20/2014,heteromyidae,dipodomys,spectabilis,144,yes,no,no,,,
7,1,01/13/2014,heteromyidae,dipodomys,merriami,51,yes,no,no,,,
7,1,01/13/2014,heteromyidae,dipodomys,merriami,44,yes,no,no,,,
7,1,01/13/2014,heteromyidae,dipodomys,spectabilis,146,yes,no,no,,,
7,2,01/08/2014,cricetidae,neotoma,albigula,-999,yes,no,yes,,,
7,2,01/08/2014,heteromyidae,dipodomys,NA,44,yes,no,no,,,
7,2,01/08/2014,heteromyidae,dipodomys,NA,38,yes,no,no,,,
7,2,01/08/2014,cricetidae,neotoma,albigula,-999,yes,no,yes,,,
7,2,01/08/2014,cricetidae,neotoma,albigula,220,yes,no,no,,,
7,2,01/08/2014,heteromyidae,dipodomys,merriami,38,yes,no,no,,,
7,2,01/08/2014,NA,NA,merriami,48,yes,no,no,,,
7,2,01/08/2014,NA,NA,spectabilis,143,yes,no,no,,,
7,2,01/08/2014,NA,NA,merriami,35,yes,no,no,,,
7,2,01/08/2014,NA,NA,ordii,43,yes,no,no,,,
7,2,01/08/2014,NA,NA,ordii,37,yes,no,no,,,
7,2,01/08/2014,NA,NA,spectabilis,150,yes,no,no,,,
7,2,01/08/2014,NA,NA,merriami,45,yes,no,no,,,
7,2,01/08/2014,cricetidae,neotoma,albigula,-999,yes,no,yes,,,
7,2,01/08/2014,heteromyidae,dipodomys,spectabilis,157,no,no,no,,,
7,2,01/08/2014,heteromyidae,dipodomys,spectabilis,-999,yes,no,yes,,,
7,2,01/18/2014,cricetidae,neotoma,albigula,218,no,no,no,,,
7,2,01/18/2014,heteromyidae,dipodomys,spectabilis,127,no,no,no,,,
7,2,01/18/2014,heteromyidae,dipodomys,merriami,52,no,no,no,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
